,"國民所得統計常用資料",
,,,,,,,,,""
"統計期","期中人口(人)","平均匯率(元/美元)","經濟成長率(%)","國內生產毛額GDP(名目值，百萬元)","平均每人GDP(名目值，元)","國民所得毛額GNI(名目值，百萬元)","平均每人GNI(名目值，元)","國民所得(名目值，百萬元)","平均每人所得(名目值，元)"
"90年第3季",22354019,34.66,-4.06,2475696,110744,2520051,112729,2189427,97939
"90年第4季",22387035,34.58,-0.30,2679374,119680,2721369,121554,2384541,106509
"91年第1季",22417770,35.04,1.82,2580550,115094,2646129,118018,2282058,101782
"91年第2季",22443730,34.45,6.75,2585960,115202,2638272,117533,2289371,101990
"91年第3季",22470926,33.99,7.02,2661948,118444,2717187,120901,2370171,105461
"91年第4季",22502570,34.84,6.22,2802453,124520,2865429,127318,2506763,111383
"92年第1季",22530466,34.71,5.17,2652671,117716,2764813,122692,2408064,106862
"92年第2季",22547204,34.72,-1.15,2573103,114101,2655041,117734,2295890,101808
"92年第3季",22564109,34.25,5.41,2755213,122085,2806242,124345,2448502,108494
"92年第4季",22589258,34.00,7.26,2943042,130262,3020061,133670,2680584,118646
"93年第1季",22613014,33.41,6.93,2807395,124126,2922201,129203,2547698,112644
"93年第2季",22630864,33.38,10.80,2824458,124782,2896878,127982,2507437,110776
"93年第3季",22649796,33.98,7.05,2952300,130321,3032177,133847,2631271,116150
"93年第4季",22674232,32.94,3.60,3012088,132818,3108392,137062,2710391,119514
"94年第1季",22696209,31.54,3.76,2888183,127234,2993589,131877,2574765,113427
"94年第2季",22712927,31.40,4.82,2876093,126608,2944251,129608,2525435,111172
"94年第3季",22733699,32.32,5.06,3034571,133462,3058524,134515,2645608,116356
"94年第4季",22757611,33.46,7.63,3237828,142252,3325417,146099,2910534,127873
"95年第1季",22780718,32.32,6.05,3015255,132330,3131319,137422,2691558,118123
"95年第2季",22802844,32.18,5.64,3020629,132437,3088280,135402,2628941,115263
"95年第3季",22826840,32.78,7.19,3200487,140175,3246789,142202,2777056,121629
"95年第4季",22857785,32.85,4.33,3336216,145921,3412139,149241,2946646,128882
"96年第1季",22878491,32.92,5.64,3164736,138268,3293144,143877,2765549,120827
"96年第2季",22891176,33.11,7.12,3194285,139481,3288070,143575,2758805,120465
"96年第3季",22913604,32.91,7.97,3453398,150648,3482947,151935,2924437,127573
"96年第4季",22941836,32.43,6.58,3551498,154736,3625197,157947,3091246,134683
"97年第1季",22968580,31.53,7.66,3324515,144721,3483903,151658,2898400,126171
"97年第2季",22986531,30.44,5.65,3314490,144172,3362278,146249,2745112,119405
"97年第3季",23001000,31.19,-1.39,3242391,140947,3293118,143151,2710587,117828
"97年第4季",23022384,32.98,-7.36,3233700,140439,3281613,142518,2743285,119139
"98年第1季",23047791,33.98,-7.88,3107886,134819,3237491,140442,2621121,113705
"98年第2季",23063948,33.13,-5.92,3102866,134508,3190889,138323,2588877,112228
"98年第3季",23077893,32.80,-1.13,3265332,141465,3330608,144292,2724739,118046
"98年第4季",23103107,32.32,8.58,3443361,149015,3562815,154184,2987324,129280
"99年第1季",23125433,31.96,11.55,3411644,147518,3568584,154303,2985966,129111
"99年第2季",23134737,31.93,12.02,3467834,149886,3571135,154351,2984031,128976
"99年第3季",23142236,31.97,11.54,3604351,155737,3682092,159095,3057233,132097
"99年第4季",23154107,30.74,6.34,3576516,154455,3654249,157811,3104039,134050
"100年第1季",23164001,29.51,6.72,3552329,153297,3707684,160000,3181462,137290
"100年第2季",23173178,28.90,4.16,3470395,149702,3561678,153638,2983231,128684
"100年第3季",23189212,29.20,3.28,3645975,157167,3706638,159781,3029506,130591
"100年第4季",23211430,30.26,0.89,3593502,154756,3658307,157546,3033110,130621
"101年第1季",23232090,29.72,1.09,3573234,153765,3711625,159719,3099855,133393
"101年第2季",23250508,29.66,1.04,3560576,153099,3668157,157724,3030804,130318
"101年第3季",23272209,29.87,2.18,3761673,161594,3844609,165157,3172800,136296
"101年第4季",23299246,29.21,4.48,3782282,162291,3885560,166722,3193213,137014
"102年第1季",23324264,29.55,1.50,3670889,157387,3805050,163139,3242595,139023
"102年第2季",23338459,29.95,2.68,3721253,159449,3788027,162310,3181410,136317
"102年第3季",23350401,29.95,1.95,3877352,166054,3972188,170115,3357032,143769
"102年第4季",23365053,29.63,3.73,4001234,171252,4107967,175820,3413319,146089
"103年第1季",23376556,30.36,4.69,3864177,165254,4028330,172274,3458937,147923
"103年第2季",23385815,30.16,4.92,3966585,169567,4079787,174406,3469291,148307
"103年第3季",23401158,30.06,4.90,4137478,176757,4227801,180614,3607436,154111
"103年第4季",23422017,30.89,4.38,4289807,183102,4361234,186149,3676529,156923
"104年第1季",23441520,31.59,4.80,4215980,179835,4414610,188307,3793426,161809
"104年第2季",23455425,30.99,1.89,4157711,177245,4242403,180855,3589202,153007
"104年第3季",23465155,32.21,-0.28,4286649,182665,4316888,183953,3654406,155723
"104年第4季",23480411,32.85,-0.20,4394740,187150,4520840,192519,3823611,162828
"105年第1季",23494444,33.35,-0.09,4318253,183756,4516089,192174,3826530,162832
"105年第2季",23502588,32.44,1.69,4258596,181155,4387091,186620,3709202,157784
"105年第3季",23513940,31.73,3.00,4393874,186819,4414318,187688,3761737,159941
"105年第4季",23529667,31.78,3.92,4584545,194796,4688911,199229,4007984,170297
"106年第1季",23542748,31.10,3.24,4405269,187098,4587277,194828,3919971,166487
"106年第2季",23549075,30.27,2.64,4306257,182844,4409993,187248,3746395,159072
"106年第3季",23554969,30.28,3.61,4556280,193411,4505508,191256,3848490,163366
"106年第4季",23564347,30.12,3.71,4715541,200092,4927930,209105,4218944,179020
"107年第1季",23571609,29.32,3.41,4498784,190824,4726683,200490,3996606,169523
"107年第2季",23573132,29.78,3.42,4482674,190128,4563244,193545,3851267,163348
"107年第3季",23575881,30.68,2.29,4597982,194996,4549158,192926,3889690,164958
"107年第4季",23583210,30.86,2.12,4795582,203312,4950738,209891,4230879,179372
"108年第1季",23589062,30.83,2.05,4580792,194163,4774328,202367,3987231,169005
"108年第2季",23590112,31.15,2.99,4614922,195602,4764854,201956,3994494,169305
"108年第3季",23592407,31.21,3.43,4770449,202174,4757231,201613,4023057,170499
"108年第4季",23598452,30.51,3.70,4942469,209409,5088370,215591,4307760,182517
"109年第1季",23599807,30.15,2.88,4711195,199628,4890504,207226,4071075,172503
"109年第2季",23590158,29.93,0.62,4743777,201090,4881139,206914,4050957,171720
"109年第3季",23576101,29.48,4.44,5107788,216649,5258723,223052,4457838,189081
"109年第4季",23564807,28.77,5.39,5352046,227118,5456220,231540,4652674,197440
"110年第1季",23543430,28.39,9.57,5293915,224934,5452498,231672,4585757,194842
"110年第2季",23506566,27.99,8.07,5229577,222549,5357094,227976,4563516,194201
"110年第3季",23459229,27.87,4.15,5400530,230287,5534263,235991,4695561,200223
"110年第4季",23403131,27.84,5.12,5739209,245316,5887505,251655,5067849,216617
"111年第1季",23322153,28.00,3.84,5666550,242169,5867834,250774,4916860,210133
"111年第2季",23227635,29.46,3.48,5508669,236379,5692503,244271,4802112,206064
"111年第3季",23192206,30.40,3.98,5719679,245809,5775317,248203,4809693,206704
"111年第4季",23231387,31.37,-0.68,5784945,248193,6038907,259093,5020332,215393
"112年第1季",23298785,30.40,-3.49,5482976,235333,5784970,248295,4732838,203137
"112年第2季",23353106,30.71,1.41,5697026,243952,5843417,250220,4790960,205153
"112年第3季",23388792,31.69,2.15,6081323,260010,6166818,263666,5056279,216184
"112年第4季",23412371,31.84,4.83,6283636,268390,6507347,277945,5416971,231372
"113年第1季",23418409,31.45,6.63,6072688,259313,6338967,270683,5192391,221723
"113年第2季",23414637,32.35,5.06,6194909,264574,6400810,273368,5422154,231571


"註解："
"2024Q1為修正數，2024Q2為初步統計數。"
""
